"","OTUID","Warming","Control","delta.eaf","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"221","OTU_293",0.280027135185842,0.148159967971405,0.131867167214437,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter peroxydans"
"222","OTU_2943",0.285713833659701,0,0.285713833659701,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Cereibacter","Cereibacter azotoformans"
"223","OTU_2945",0.141712730776038,0,0.141712730776038,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Leptolyngbyaceae","Leptolyngbya","Leptolyngbya sp. CCY15150"
"224","OTU_299",0.339301670261497,0,0.339301670261497,"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Allochromatium","Allochromatium vinosum"
"225","OTU_299035",0.160425359985126,0,0.160425359985126,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Cereibacter","Cereibacter changlensis"
"226","OTU_30",0.274634410087408,0.186656807775696,0.0879776023117114,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter peroxydans"
"227","OTU_300",0.605394698927119,0,0.605394698927119,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"228","OTU_3026",0,0.171535375713494,-0.171535375713494,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Calotrichaceae","Calothrix","Calothrix sp. NIES-2100"
"229","OTU_3039",0.398821498518301,0,0.398821498518301,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"230","OTU_3040",0.19890011842243,0.10487629103357,0.0940238273888601,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter peroxydans"
"231","OTU_3056",0.423036613566612,0,0.423036613566612,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"232","OTU_310",0.360994656726939,0,0.360994656726939,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium sp."
"233","OTU_31111",0.353781465666323,0,0.353781465666323,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"234","OTU_312",0.243757645961111,0,0.243757645961111,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia","Romboutsia lituseburensis"
"235","OTU_314",0,0.132462898633465,-0.132462898633465,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodomicrobium","Rhodomicrobium lacus"
"236","OTU_31432",0.193356224356184,0,0.193356224356184,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Defluviicoccus","Defluviicoccus vanus"
"237","OTU_3150",0.355103690814884,0,0.355103690814884,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium","Acetobacterium paludosum"
"238","OTU_316",0.195548709128544,0,0.195548709128544,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Stigonemataceae","Stigonema","Stigonema ocellatum"
"239","OTU_317",0.216885148776799,0,0.216885148776799,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Paraburkholderia","Paraburkholderia phymatum"
"240","OTU_3177",0.308144933770055,0,0.308144933770055,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acetobacter","Acetobacter peroxydans"
"241","OTU_3180",0.183214792611222,0,0.183214792611222,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Anaeromyxobacteraceae","Anaeromyxobacter","Anaeromyxobacter sp. Red267"
"242","OTU_32",0.286311392417975,0,0.286311392417975,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Rahnella","Rahnella sp. AA"
"243","OTU_320",0.460222050219271,0,0.460222050219271,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Nostocales","Nostocaceae","Komarekiella","Komarekiella sp. clone 1"
"244","OTU_3202",0.291942130684919,0,0.291942130684919,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp. ORS 3356"
"245","OTU_32348",0.371299321959344,0,0.371299321959344,"Bacteria","Cyanobacteria","unknown Cyanobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena","Pseudanabaena frigida"
"246","OTU_325",0.354662535640772,0,0.354662535640772,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia cepacia complex"
"247","OTU_3252",0.181871660023584,0,0.181871660023584,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Microvirga","Microvirga sp. KLBC 81"
"248","OTU_326",0.164178381488815,0,0.164178381488815,"Bacteria","Proteobacteria","Alphaproteobacteria","Hyphomicrobiales","Hyphomicrobiaceae","Rhodoplanes","Rhodoplanes roseus"
